Time in ms;Pos hand in x;
0;0;
0.02;-1.403766;
0.04;-7.645094;
0.06;-7.645094;
0.08;-7.645094;
0.09999999;-9.452209;
0.12;-10.24551;
0.14;-10.54252;
0.16;-10.8107;
0.18;-11.00532;
0.2;-11.56482;
0.22;-11.52588;
0.24;-11.24628;
0.26;-10.71792;
0.28;-10.28115;
0.3;-9.510842;
0.32;-8.638169;
0.34;-8.186191;
0.36;-7.045651;
0.38;-4.528718;
0.4;-2.086862;
0.42;1.046196;
0.44;4.412261;
0.46;6.066196;
0.48;12.80875;
0.5;13.72125;
0.52;16.8788;
0.54;19.82424;
0.56;22.44308;
0.58;27.42788;
0.6;29.57757;
0.62;37.7157;
0.64;50.38647;
0.66;65.50182;
0.68;90.6334;
0.7;108.0523;
0.72;116.6196;
0.74;133.0159;
0.76;147.1264;
0.78;162.9982;
0.8;169.8317;
0.82;175.5149;
0.84;177.8942;
0.86;183.6954;
0.88;184.8115;
0.9;185.6663;
0.92;186.4992;
0.94;185.5406;
0.96;182.3769;
0.98;180.8335;
1;180.138;
1.02;179.5605;
1.04;177.247;
1.06;172.6241;
1.08;170.0897;
1.1;168.2956;
1.12;164.7092;
1.14;161.7272;
1.16;157.4542;
1.18;155.0163;
1.2;152.8576;
1.22;151.5645;
1.24;148.537;
1.26;144.1023;
1.28;140.2595;
1.3;136.1378;
1.32;131.6317;
1.34;129.3259;
1.36;119.3621;
1.38;116.7977;
1.4;111.7043;
1.42;105.8225;
1.44;99.75838;
1.46;90.33355;
1.48;84.05019;
1.5;80.84701;
1.52;74.70744;
1.54;65.83595;
1.56;60.32756;
1.58;54.88169;
1.6;52.3618;
1.62;47.70908;
1.64;39.23063;
1.66;37.39873;
1.68;33.92315;
1.7;30.99204;
1.72;27.55132;
1.74;22.98957;
1.76;20.35402;
1.78;19.04136;
1.8;16.49848;
1.82;13.94489;
1.84;10.51951;
1.86;7.134706;
1.88;3.835859;
1.9;2.052989;
1.92;-0.7523994;
1.94;-5.054881;
1.96;-7.649746;
1.98;-10.1594;
2;-11.96915;
2.02;-14.48812;
2.04;-15.6925;
2.06;-16.11703;
2.08;-16.78375;
2.1;-17.44397;
2.12;-18.08651;
2.14;-18.43183;
2.16;-18.66436;
2.18;-18.76338;
2.2;-18.90768;
2.22;-18.73916;
2.24;-18.34198;
2.26;-17.90507;
2.28;-17.65221;
2.3;-17.21768;
2.32;-15.73374;
2.34;-15.50352;
2.36;-14.68709;
2.38;-13.4826;
2.4;-12.78432;
2.42;-10.50407;
2.44;-9.907039;
2.46;-8.843287;
2.48;-7.586012;
2.5;-6.536704;
2.52;-4.262343;
2.54;-2.821658;
2.56;-2.103405;
2.58;-0.814069;
2.6;2.132438;
2.62;2.696359;
2.64;3.833823;
2.66;5.125319;
2.68;5.553532;
2.7;7.562435;
2.72;8.284356;
2.74;8.650784;
2.76;9.331601;
2.78;10.02423;
2.8;10.85947;
2.82;11.23623;
2.84;11.46554;
2.86;11.88041;
2.88;12.26879;
2.9;12.68941;
2.92;13.25187;
2.94;13.76737;
2.96;14.00191;
2.98;14.54615;
3;15.89361;
3.02;17.06446;
3.04;18.37436;
3.06;19.85034;
3.08;20.43926;
3.1;23.33992;
3.12;23.91437;
3.14;25.37674;
3.16;27.22395;
3.18;28.30016;
3.2;29.2368;
3.22;30.15902;
3.24;30.6774;
3.26;31.38371;
3.28;31.92038;
3.3;32.17722;
3.32;32.55674;
3.34;32.82523;
3.36;32.92151;
3.38;33.08183;
3.4;33.09948;
3.42;33.10273;
3.44;33.0793;
3.46;33.06724;
3.48;33.04948;
3.5;33.07869;
3.52;33.15084;
3.54;33.46962;
3.56;34.28593;
3.58;35.80531;
3.6;37.26379;
3.62;38.25961;
3.64;40.36353;
3.66;47.08188;
3.68;48.48903;
3.7;51.38554;
3.72;53.95188;
3.74;56.24746;
3.76;64.60281;
3.78;66.63449;
3.8;70.67591;
3.82;74.23251;
3.84;76.30537;
3.86;87.05743;
3.88;92.33216;
3.9;94.98434;
3.92;100.5311;
3.94;105.8796;
3.96;113.0628;
3.98;116.9287;
4;120.5054;
4.02;122.2295;
4.04;125.3079;
4.06;128.8476;
4.08;130.8311;
4.1;132.3612;
4.12;133.9039;
4.14;134.3382;
4.16;136.083;
4.18;136.2589;
4.2;136.4784;
4.22;136.6051;
4.24;136.6072;
4.26;136.5351;
4.28;136.2294;
4.3;136.1134;
4.32;135.6923;
4.34;134.1839;
4.36;132.8124;
4.38;131.6608;
4.4;129.9493;
4.42;129.1694;
4.44;125.7884;
4.46;125.0029;
4.48;123.0464;
4.5;121.1948;
4.52;119.9455;
4.54;115.8006;
4.56;112.8849;
4.58;111.5107;
4.6;109.4135;
4.62;107.1856;
4.64;104.2367;
4.66;102.6829;
4.68;101.4467;
4.7;100.9254;
4.72;100.0257;
4.74;98.91219;
4.76;98.37531;
4.78;97.98224;
4.8;97.69064;
4.82;97.36365;
4.84;97.28372;
4.86;97.18237;
4.88;97.13255;
4.9;97.11337;
4.92;97.22045;
4.94;97.32384;
4.96;97.41457;
4.98;97.59702;
5;97.82636;
5.02;98.30948;
5.04;98.62854;
5.06;98.86699;
5.08;98.97108;
5.1;99.10638;
5.12;99.31039;
5.14;99.3202;
5.16;99.33829;
5.18;99.35802;
5.2;99.37234;
5.22;99.39367;
5.24;99.3965;
5.26;99.39043;
5.28;99.3895;
5.3;99.37344;
5.32;99.34868;
5.34;99.3;
5.36;99.27225;
5.38;99.24139;
5.4;99.11271;
5.42;99.08033;
5.44;98.99293;
5.46;98.8893;
5.48;98.79994;
5.5;98.5368;
5.52;98.49693;
5.54;98.37374;
5.56;98.26551;
5.58;98.10989;
5.6;97.8939;
5.62;97.7058;
5.64;97.63248;
5.66;97.52163;
5.68;97.46103;
5.7;97.35914;
5.72;97.26849;
5.74;97.1687;
5.76;96.64243;
5.78;94.46254;
5.8;86.44667;
5.82;76.01921;
5.84;61.23238;
5.86;52.4295;
5.88;14.1612;
5.9;5.456922;
5.92;-10.61306;
5.94;-25.00449;
5.96;-38.86061;
5.98;-57.05255;
6;-68.63091;
6.02;-74.36548;
6.04;-84.37395;
6.06;-92.58192;
6.08;-104.0289;
6.1;-111.8867;
6.12;-119.7128;
6.14;-128.2952;
6.16;-132.118;
6.18;-146.8607;
6.2;-149.7635;
6.22;-155.23;
6.24;-159.4888;
6.26;-161.0824;
6.28;-167.268;
6.3;-168.067;
6.32;-169.5257;
6.34;-170.6574;
6.36;-171.0324;
6.38;-170.8589;
6.4;-169.566;
6.42;-169.1479;
6.44;-168.0633;
6.46;-164.0017;
6.48;-162.649;
6.5;-160.6355;
6.52;-157.3347;
6.54;-155.6584;
6.56;-146.5391;
6.58;-143.938;
6.6;-137.9671;
6.62;-130.6492;
6.64;-125.8192;
6.66;-101.8691;
6.68;-87.23866;
6.7;-79.21693;
